epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,104.101,1.10932,3.93353,0.96469,0.99857,0.77466,0.99346,0.67911,1.07761,2.67466,0.954,0.000660969,0.000660969,0.000660969
2,203.034,0.8741,1.67339,0.87079,0.99298,0.78596,0.92176,0.67475,0.98945,1.52765,0.91727,0.00130573,0.00130573,0.00130573
3,302.695,0.81824,1.01495,0.85929,0.97,0.97008,0.98966,0.7234,1.01258,0.64322,0.91827,0.00192849,0.00192849,0.00192849
4,401.609,0.82129,0.72095,0.86543,0.97883,0.97591,0.99365,0.71094,1.0146,0.61138,0.94365,0.001901,0.001901,0.001901
5,501.649,0.80045,0.60835,0.85015,0.96001,0.8802,0.97265,0.66596,1.10586,0.81591,0.94321,0.001868,0.001868,0.001868
6,600.216,0.75445,0.55119,0.83468,0.98997,0.98747,0.99464,0.77935,0.86654,0.54214,0.89822,0.001835,0.001835,0.001835
7,700.351,0.70146,0.49515,0.83627,0.98521,0.96216,0.98575,0.7326,0.94936,0.58985,0.91402,0.001802,0.001802,0.001802
8,800.009,0.71406,0.46801,0.8359,0.96387,0.99111,0.99218,0.74779,0.88739,0.48647,0.90751,0.001769,0.001769,0.001769
9,899.402,0.66508,0.44786,0.82468,0.99105,0.98333,0.99473,0.76626,0.86313,0.49777,0.89665,0.001736,0.001736,0.001736
10,999.341,0.6621,0.42882,0.82115,0.9599,0.9574,0.98678,0.74502,0.895,0.57379,0.89885,0.001703,0.001703,0.001703
11,1098.51,0.65513,0.42376,0.8245,0.99667,0.99646,0.99499,0.74006,0.93721,0.49208,0.91666,0.00167,0.00167,0.00167
12,1198.02,0.64586,0.41489,0.82148,0.99221,0.99032,0.99487,0.74998,0.92983,0.47289,0.90602,0.001637,0.001637,0.001637
13,1297.24,0.63792,0.40887,0.81283,0.99313,0.94889,0.9865,0.77185,0.8516,0.53296,0.87259,0.001604,0.001604,0.001604
14,1395.2,0.61976,0.39922,0.81883,0.98385,0.96222,0.99248,0.77541,0.84137,0.47851,0.87684,0.001571,0.001571,0.001571
15,1494.16,0.61305,0.38095,0.81531,0.98448,0.98889,0.9924,0.77405,0.8635,0.44652,0.89151,0.001538,0.001538,0.001538
16,1593.03,0.62114,0.38073,0.81298,0.98995,0.98545,0.99461,0.77937,0.86524,0.45116,0.87893,0.001505,0.001505,0.001505
17,1690.94,0.59485,0.37452,0.81046,0.99771,0.97889,0.99476,0.77113,0.85849,0.44596,0.88532,0.001472,0.001472,0.001472
18,1788.85,0.58134,0.36542,0.80944,0.98337,0.98563,0.99459,0.75253,0.87117,0.43147,0.87883,0.001439,0.001439,0.001439
19,1885.78,0.5872,0.36547,0.81078,0.99063,0.99333,0.99491,0.77497,0.83651,0.42758,0.88086,0.001406,0.001406,0.001406
20,1983.98,0.57017,0.36228,0.8025,0.98106,0.97863,0.9941,0.76644,0.8415,0.44603,0.87696,0.001373,0.001373,0.001373
21,2081.64,0.57707,0.36839,0.80666,0.99426,0.96235,0.99307,0.79178,0.84368,0.48566,0.87529,0.00134,0.00134,0.00134
22,2179.1,0.56286,0.35763,0.80746,0.99112,0.99111,0.99489,0.76855,0.8743,0.43332,0.89641,0.001307,0.001307,0.001307
23,2275.45,0.55618,0.34147,0.80258,0.99666,0.99412,0.99493,0.77104,0.82471,0.39636,0.87009,0.001274,0.001274,0.001274
24,2370.25,0.55748,0.34369,0.80415,0.99003,0.99556,0.99491,0.79447,0.82153,0.41244,0.88011,0.001241,0.001241,0.001241
25,2466.44,0.54988,0.34304,0.80125,0.99355,0.98333,0.9944,0.797,0.80571,0.41652,0.8661,0.001208,0.001208,0.001208
26,2563.79,0.54204,0.33489,0.79685,0.98802,0.98444,0.99397,0.8005,0.78517,0.41846,0.86121,0.001175,0.001175,0.001175
